Name	Parent Skill	Mastery Level	Spell Cost	Casting Time 	Range 	Shape 	Duration	Effects	Container Breakdown	Add ons	Modifiers	Notes/Special Conditions	Flavor Line	Progressive spell conditions
Soul’s Whisper	Soul	Apprentice	10	5	Touch (2)	--	--	Detects the presence/absence of a soul on touch and gives a faint impression of vitality.	Container 1: Target (1) → Stand Alone: Reveal/Detect (4)	Range: Touch (2)	Progressive Spell (3)	• Apprentice: Requires touch; cannot read thoughts/memories. • Blocked by strong wards or soulless constructs without cores. • G.O.D: spiritual anomalies may return unclear signals.	“The soul always whispers—if you dare to listen.”	Apprentice: On touch, detect presence/absence of a soul; faint vitality impression. • Novice: Adds Short (30 ft) range; read emotional tone (calm/anger/fear); sense soul strength (weak/average/potent); detect simple bindings/links. • Master: Brief communion—ask one concise question; adds Duration: Combat Step; requires willing spirit or opposed Resolve check; no compulsion. • High Master: Partial astral separation for 1 round; perceive from a point within Medium (60 ft); read residual soul-echoes in recently marked places. • Grand Master: Full astral projection for 1 round; interact with astral entities; traverse along known soul-links within line of sight; body is helpless until return.
Ancestral Aegis	Soul	Apprentice	8	4	Self (1)	--	Combat Step (2)	Gain +5% to checks resisting fear, panic, possession, or similar spirit influence for the current combat step; your soul signature is lightly veiled against casual detection.	Container 1: Target (1) → Stand Alone: Buff (+5% vs fear/possession) (2)	Range: Self (1); Duration: Combat Step (2)	Expose/Conceal (2)	• Does not compel courage—only reduces interference and sharpens intent. • Veil hinders only casual/brief soul reads; focused rituals ignore this. • Multiple castings don’t stack; take the strongest.	“Stand where your ancestors stood, and fear will blink first.”	--
Lifethread Gift	Soul	Apprentice	7	4	Touch (2)	--	--	Transfer 1 point of vitality from the caster to a touched willing ally instantly; cannot reduce the caster below 1 HP; counts as healing for interactions.	Container 1: Target (1) → Stand Alone: Transfer Life Force (1 point) (4)	Range: Touch (2)	--	• Only transfers from caster → ally; no siphoning from foes. • Fails if target is warded against soul contact or is unwilling. • Cannot stabilize the dead; use before an ally drops.	“Better a scar on me than a grave for you.”	--
Echo of Emotion	Soul	Novice	14	7	Short (30 ft)	--	Combat Round (5)	Detects emotional states of all creatures in a 30 ft radius for 1 round.	Container 1: AoE (2) → Stand Alone: Reveal/Detect (4)	Range: Short (4); Duration: Combat Round (5)	--	• Does not reveal specific thoughts or memories. • Powerful wards or soulless constructs return no result. • Emotional noise may overwhelm in large groups; G.O.D discretion for clarity.	“The heart cannot lie to the soul.”	--
Soul Bind	Soul	Novice	16	8	Medium (60 ft)	--	Combat Step (2)	Imposes a binding tether; target must succeed on Resolve save or suffer -1 initiative and be unable to teleport/disengage for 1 step.	Container 1: Control (2) → Stand Alone: Anchor/Lock (6)	Range: Medium (5); Duration: Combat Step (2)	--	• Target may attempt a Resolve check to resist; contested by caster’s Willpower. • Does not prevent physical movement, only spiritual disengagement and initiative penalty. • Wards against binding nullify this effect.	“The thread of the soul can be tied, if only for a moment.”	--
Warden’s Lantern	Soul	Novice	18	9	Self (1)	Sphere/Cube/Zone (15 ft radius) (5)	Combat Round (5)	Reveals hidden/invisible spiritual presences and highlights weak points in ethereal constructs within 15 ft zone.	Container 1: AoE (2) → Stand Alone: Reveal/Detect (4)	Range: Self (1); Shape: Zone 15 ft (5); Duration: Combat Round (5)	--	• Does not dispel illusions, only reveals them as false. • Cannot identify specific entities beyond their outline. • Spiritual constructs appear fragile but are not damaged.	“Let the hidden step into the light.”	--
Astral Chains	Soul	Master	28	14	Medium (60 ft)	--	Combat Round (5)	Target is restrained in place and suffers -2 initiative for 1 round unless they pass a Resolve save; if immobilized, they cannot teleport or disengage.	Container 1: Control (2) → Stand Alone: Immobilize (6), Debuff (-2 Init = 4)	Range: Medium (5); Duration: Combat Round (5)	--	• On a failed save, the target is restrained and slowed. • On a success, they only suffer -1 initiative. • Chains are visible to all, but can’t be cut by mundane means.	“The soul can be heavier than iron.”	--
Guardian Spirit	Soul	Master	34	17	Self (1)	Radius 10 ft (3)	Combat Round (5)	Summons a spectral guardian that grants +10% defense to allies in 10 ft radius and imposes disadvantage on hostile incorporeal creatures entering the zone.	Container 1: AoE (2) → Stand Alone: Summon (minor guardian spirit) (8), Buff (+10% defense = 2)	Range: Self (1); Shape: Radius 10 ft (3); Duration: Combat Round (5)	Component Requirement (-2)	• Guardian cannot stray beyond 10 ft from caster. • Its form is narrative, not statistical, unless G.O.D assigns. • When it vanishes, caster suffers 1 temporary fatigue penalty.	“Stand—your guardian stands with you.”	--
Astral Step	Soul	Master	40	20	Line of Sight (10)	--	Instantaneous (1)	Teleports the caster instantly to any visible location within line of sight.	Container 1: Temporal/Spatial (5) → Stand Alone: Teleportation (8)	Range: Line of Sight (10); Duration: Instantaneous (1)	Backlash Risk (-5)	• If interrupted, caster suffers 1d4 vitality damage. • Cannot bypass wards or sealed barriers. • Leaves a faint echo trail readable by skilled soul seers.	“To walk in two worlds is to walk without a map.”	--
Astral Maelstrom	Soul	High Master	53	27	Line of Sight (10)	Radius 30 ft (7)	Combat Round (5)	An ethereal vortex pulls creatures toward its center, restrains them, and distorts movement inside the zone for 1 round.	Container 1: AoE (2) → Stand Alone: Spatial Bubble (8); Container 2: Control (2) → Stand Alone: Pull (3) + Knockdown (4) + Immobilize (6); Container 3: Temporal/Spatial (5) → Stand Alone: Temporal Stasis (6)	Range: Line of Sight (10); Shape: Radius 30 ft (7); Duration: Combat Round (5)	Backlash Risk (-5)	• Creatures in the zone make Strength/Resolve saves at the start of their turns or are pulled 10 ft toward center, knocked prone, and Immobilized for the step. • On a success, movement is halved while inside and they suffer -1 initiative. • Teleportation out of the zone requires a Resolve check; failure wastes the attempt. • Caster must pass a Focus check each round or take backlash (narrate as soul‑whiplash). • Allies are affected but gain +2 to their saves if designated by the caster. • Loose objects/spirits are drawn inward; G.O.D adjudicates collateral.	“The soul’s tides pull all things to the deep.”	--
Pale Legion	Soul	High Master	51	26	Medium (60 ft)	Radius 30 ft (7)	Combat Round (5)	Summons a spectral host that harms enemies and bolsters allies within a 30 ft radius zone for 1 round.	Container 1: AoE (2) → Stand Alone: Summon (major spectral warriors) (15) + Damage (6); Container 2: AoE (2) → Stand Alone: Buff (+10% morale/attack) (3); Container 3: Control (2) → Stand Alone: Anchor/Lock (6)	Range: Medium (5); Shape: Radius 30 ft (7); Duration: Combat Round (5)	Concentration (-2)	• Enemies in the zone take 1 point of spirit damage this round and suffer pressure from the host. • Allies in the zone gain +10% morale/attack while the legion persists. • Incorporeal/teleportation attempts into or out of the zone require a Resolve check due to the anchor. • If concentration breaks, the legion vanishes instantly. • The host is narrative (echoes), not fully statted; G.O.D may grant advantage to efforts that leverage their presence.	“The dead march where the living falter.”	--
Eclipse of Eternity	Soul	Grand Master	124	62	Line of Sight (10)	Sphere 60 ft radius (11)	Combat Round (5)	A twilight dome manifests, simultaneously binding foes, empowering allies, and destabilizing soul-anchors in the zone.	Container 1: AoE (2) → Stand Alone: Spatial Bubble (8) + Control: Immobilize (6) + Debuff (Resolve penalty, 4); Container 2: Control (2) → Stand Alone: Blind/Deaf/Silence (5) + Anchor/Lock (6); Container 3: AoE (2) → Stand Alone: Buff (+15% morale/defense, 5); Container 4: Temporal/Spatial (5) → Stand Alone: Temporal Stasis (6), nested → Control (2) + Stun/Daze (6)	Range: Line of Sight (10); Shape: Sphere 60 ft (11); Duration: Combat Round (5)	Backlash Risk (-5), Concentration (-2)	• Foes inside the dome must make dual saves: Resolve vs immobilization, and Willpower vs silence. • On failure, they are restrained, silenced, and suffer –2 to Resolve for the round. • Allies gain +15% morale/defense while inside. • Teleportation and ethereal escape attempts are locked unless caster’s concentration breaks. • If concentration fails, caster suffers 2d6 vitality backlash and 1 permanent scar on soul (G.O.D-narrative consequence). • The world remembers: lingering silence and gray haze persist for minutes after the eclipse ends.	“When eternity opens its eye, the soul cannot hide.”	--
Vital Wellspring	Life	Apprentice(Progressive)	10	5	Touch (2)	--	Combat Step (2 at Apprentice, expands with levels)	Healing, Buffs to vitality, Wards, Revival at top tiers	Container 1: Target (1) → Stand Alone: Healing (3) + Buff (2)	Range: Touch (2), Duration: Combat Step (2)	Progressive Spell (3)	• Apprentice: Restores 1 HP and grants +5% resilience for 1 combat step. • Novice: Heals 2 HP and cleanses poison/disease from one ally; duration = 1 Combat Round. • Master: Multi-Target (up to 3 allies), heals 3 HP each, grants +1 Constitution for 1 Combat Round. • High Master: AoE (Radius 20 ft), heals 5 HP per ally, wards against poison/disease/curse, duration = 1 Hour. • Grand Master: AoE (Sphere 100 ft), heals 10 HP per ally, restores lost Constitution, revives 1 fallen ally at 1 HP, wards all allies with +2 Constitution and curse immunity for 1 Day.	“A drop of life may close a wound. A river of life may turn the tide of worlds.”	Apprentice: Touch heals 1 HP, +5% resilience (1 step). • Novice: Heal 2 HP, cleanse poison/disease, duration 1 round. • Master: Heal 3 HP to up to 3 allies, +1 Constitution, duration 1 round. • High Master: Heal 5 HP per ally in 20 ft radius, ward against ailments, duration 1 hour. • Grand Master: Heal 10 HP per ally in 100 ft sphere, restore lost Constitution, revive 1 fallen ally, +2 Constitution and curse immunity, duration 1 day.
Soothing Pulse	Life	Apprentice	8	4	Touch (2)	--	Combat Step (2)	Restores 2 HP and grants +5% resilience for one combat step.	Container 1: Target (1) → Stand Alone: Healing (2 increments = 5 Mana) + Buff (2 Mana)	Range: Touch (2), Duration: Combat Step (2)	--	• Quick, efficient heal with small buff. • Cannot cure disease/poison. • Glow fades after 1 step.	“The hand that heals steadies the heart.”	--
Vital Exchange	Life	Apprentice	9	5	Touch (2)	--	Instantaneous (1)	Transfers 2 HP from caster to target.	Container 1: Target (1) → Stand Alone: Transfer Life Force (2 increments = 8 Mana)	Range: Touch (2), Duration: Instantaneous (1)	--	• HP is directly lost by caster and restored to target. • Cannot bypass Constitution damage or death. • Leaves caster fatigued if overused.	“One breath given, another renewed.”	--
Renewing Wave	Life	Novice	15	8	Short (30 ft) (4)	Radius (10 ft) (3)	Instantaneous (1)	Allies within a 10 ft radius at a point within 30 ft instantly heal 2 HP.	Container 1: AoE (2) → Stand Alone: Healing (2 HP = 5)	Add-On Range: Short (4); Add-On Shape: Radius 10 ft (3); Add-On Duration: Instantaneous (1)	--	• Instantaneous; no lingering effects. • Does not remove poison/disease. • Targets must be in the radius at resolution. • Healing is not wasted above max HP (excess is lost).	“Rise together, breathe together.”	--
Cleansing Aegis	Life	Novice	16	8	Touch (2)	--	Combat Round (5)	Cancel one ongoing poison/disease/curse-like effect on the target; target also gains a minor bolster (+5% to related resistance checks) for 1 Combat Round.	Container 1: Target (1) → Stand Alone: Counter / Cancel (6) + Buff (+5% = 2)	Add-On Range: Touch (2); Add-On Duration: Combat Round (5)	--	• The cancel effect resolves immediately on cast; the +5% Buff persists 1 round. • G.O.D adjudicates “curse-like” parity with toxic or disease effects. • Does not restore HP directly. • Particularly virulent or magical toxins may require higher-tier solutions.	“In clean light, the body remembers how to fight.”	--
Verdant Bloom	Life 	Novice	15	8	Short (30 ft) (4)	Radius (10 ft) (3)	Instantaneous (1)	Instantly creates living plant growth filling a 10 ft radius at a point within 30 ft; provides natural cover/concealment and may obstruct movement/line of sight per G.O.D adjudication.	Container 1: AoE (2) → Stand Alone: Create/Destroy (basic) (5)	Add-On Range: Short (4); Add-On Shape: Radius 10 ft (3); Add-On Duration: Instantaneous (1)	--	• Creation is physical and persists until removed by mundane means or other effects. • No direct damage or forced movement. • Movement/cover penalties are narrative and G.O.D-adjudicated (no implicit Debuff applied). • Fire, cold, or acid may quickly destroy the growth at G.O.D discretion.	“Where life is given room, it takes the ground.”	--
Verdant Bastion	Life	Master	46	23	Medium (60 ft) (5)	Radius (20 ft) (5)	Combat Round (5)	Allies inside heal 3 HP per round and are cleansed of one poison/disease/curse. Enemies inside must save or be restrained by vines (Control: Grapple/Restrain).	Container 1: AoE (2) → Stand Alone: Healing (7) + Counter/Cancel (6); Container 2: Control (2) → Stand Alone: Grapple/Restrain (4)	Range: Medium (5), Shape: Radius 20 ft (5), Duration: Combat Round (5)	--	• Healing cannot exceed max HP. • Restrain requires STR check each round to break free. • Plants persist as terrain after duration but lose magical restraint. • Does not block ranged line of sight.	“Life defends its own.”	--
